web_scraper_order,web_scraper_start_url,name,data,data2,data3,data4,data5,data6,image,image2,image3,image4,image5
"1772589286-1","https://www.lazada.co.id/tag/sweatpants-pria/?spm=a2o4j.homepage.search.d_go&q=sweatpants%20pria&catalog_redirect_tag=true","Celana Panjang Loosepants Baggy Sweatpants Pria dan wanita","Rp45.000","Kota Tasikmalaya","2.0K Terjual","(568)","78% Off","-5%","https://img.lazcdn.com/g/ff/kf/S67dfde42418d4294acf05eef8332defa6.jpg_400x400q75.jpg","","","",""
"1772589286-2","https://www.lazada.co.id/tag/sweatpants-pria/?spm=a2o4j.homepage.search.d_go&q=sweatpants%20pria&catalog_redirect_tag=true","Celana Jogger Loose Baggy | Loose Pants Pria Wanita Training Sweatpants","Rp32.999","Kab. Tasikmalaya","2.3K Terjual","(584)","84% Off","-10%","https://img.lazcdn.com/g/p/7195345b9b5fad6e4664c6cebd267488.jpg_400x400q75.jpg","","","",""
"1772589286-3","https://www.lazada.co.id/tag/sweatpants-pria/?spm=a2o4j.homepage.search.d_go&q=sweatpants%20pria&catalog_redirect_tag=true","Celana Gombrong Sweatpants Baggy Pria Wanita Unisex Trendy Skena kekinian","Rp65.799","Kab. Bandung","16 Terjual","(1)","41% Off","-3%","https://img.lazcdn.com/g/p/4e1bed503509738e0b8f811e0ddfb92f.jpg_400x400q75.jpg","","https://img.lazcdn.com/g/p/1a106c9687a9d49737a1d7684a1cd0b7.jpg_80x80q75.jpg","https://img.lazcdn.com/g/p/d00652ecf5d29709f3981d2566fc601a.jpg_80x80q75.jpg","https://img.lazcdn.com/g/p/1f2056113cdcad61e14aba4210a0bb3c.jpg_80x80q75.jpg"
"1772589286-4","https://www.lazada.co.id/tag/sweatpants-pria/?spm=a2o4j.homepage.search.d_go&q=sweatpants%20pria&catalog_redirect_tag=true","Sweatpants White / Black Series Griffin 300gsm Puffink Reflektif - M, White unisex","Rp89.443","Kota Tasikmalaya","","","75% Off","","https://img.lazcdn.com/g/p/055fd9964d9c9206c49c03d0a6aeb13a.jpg_400x400q75.jpg","","https://img.lazcdn.com/g/p/b14fa1e01f7c22ea73e00f3cca8948ca.jpg_80x80q75.jpg","https://img.lazcdn.com/g/p/822dd3e9ec45ab082e2162ad6ea966b6.jpg_80x80q75.jpg",""
